ESTANTE,CATEGORIA,DESCRIPCION,MODELO,CANTIDAD,ESTADO,CONDICION,OBSERVACIONES
A2,Circuito Integrado,8-Bit uP Compatible A/D Converters,ADC0803,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,8-Bit uP Compatible A/D Converters,ADC0804,61,DISPONIBLE,BUENO,
A2,Circuito Integrado,8-Bit uP Compatible A/D Converters with 8-Channel Multiplexer,ADC0809,151,DISPONIBLE,BUENO,
A2,Circuito Integrado,8-Bit uP Compatible A/D Converters with 8-Channel Multiplexer,ADC0808,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,8-Bit uP Compatible A/D Converters with 16-Channel Multiplexer,ADC0817,18,DISPONIBLE,BUENO,
A2,Circuito Integrado,8-Bit High Speed uP Compatible A/D Converter with Track/Hold Function,ADC0820,14,DISPONIBLE,BUENO,
A2,Circuito Integrado,8-Bit Serial I/O A/D Converters with Multiplexer Options,ADC0831,9,DISPONIBLE,BUENO,
A2,Circuito Integrado,IF Amplifier,MC1349,8,DISPONIBLE,BUENO,
A2,Circuito Integrado,TV Sound IF or FM IF Amplifier,MC1357,10,DISPONIBLE,BUENO,
A2,Circuito Integrado,TV Sound IF Amplifier,MC1358,9,DISPONIBLE,BUENO,
A2,Circuito Integrado,Linear Four-QuadrantMultiplier,MC1494,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,Differential Video Amplifier,MC1733,20,DISPONIBLE,BUENO,
A2,Circuito Integrado,PROGRAMMABLE SOUND GENERATOR,AY3-8910,12,DISPONIBLE,BUENO,
A2,Circuito Integrado,PROGRAMMABLE SOUND GENERATOR,AY3-8912,5,DISPONIBLE,BUENO,
A2,Circuito Integrado,,14412,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,,14457,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,DTMF Touch Tone Generator,MK5089,38,DISPONIBLE,BUENO,
A2,Circuito Integrado,,MK5175,10,DISPONIBLE,BUENO,
A2,Circuito Integrado,17 Stage Oscillator/Divider,MM5369,5,DISPONIBLE,BUENO,
A2,Circuito Integrado,Multifunction input/output controller,TMS5501,4,DISPONIBLE,BUENO,
A2,Circuito Integrado,,MM5307,3,DISPONIBLE,BUENO,
A2,Circuito Integrado,FSK Modem,EF7910,13,DISPONIBLE,BUENO,
A2,Circuito Integrado,Monolithic 12 bit A/D converter,ICL7109,15,DISPONIBLE,BUENO,
A2,Circuito Integrado,Push-Boton Pulse Dialer Circuit,TP50981,3,DISPONIBLE,BUENO,
A2,Circuito Integrado,"Waveform generator (sine, square, triangular, sawtooth and pulse)",ICL8038,10,DISPONIBLE,BUENO,
A2,Circuito Integrado,Relays 24 V DC,Relay 24 V DC,61,DISPONIBLE,BUENO,
A2,Circuito Integrado,Relay 5V DC,TRR1A05D00,164,DISPONIBLE,BUENO,
A2,Circuito Integrado,N-Channel Power MOSFET,IRF520,16,DISPONIBLE,BUENO,
A2,Circuito Integrado,Sensor de Aproximación,,3,DISPONIBLE,BUENO,
A2,Circuito Integrado,Recibidor/Transmisor,,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,,CNY173,0,DISPONIBLE,BUENO,
A2,Circuito Integrado,GENERAL PURPOSE 6-PIN PHOTOTRANSISTOR OPTOCOUPLERS,4N35,2,DISPONIBLE,BUENO,
A2,Circuito Integrado,FREQUENCY-SHITF-KEYED MODEM,TMS99532,2,DISPONIBLE,BUENO,
A2,Circuito Integrado,OPTICALLY COUPLED BILATERAL SWITCH LIGHT ACTIVATED ZERO VOLTAGE CROSSING TRIAC,MOC3020,5,DISPONIBLE,BUENO,
