ACTIVOTEC,ESTANTE,CATEGORIA,DESCRIPCION,MARCA,MODELO,SERIE,CANTIDAD,CONDICION,ESTADO,OBSERVACIONES
48431,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48432,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48433,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48434,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48435,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48436,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48437,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48438,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48727,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
49576,B,elvis,NI Elvis II 1/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
52463,B,elvis,NI Elvis II 3/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
52471,B,elvis,NI Elvis II 2/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54893,B,elvis,NI Elvis II 5/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54894,B,elvis,NI Elvis II 6/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54895,B,elvis,NI Elvis II 7/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54896,B,elvis,NI Elvis II 8/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54897,B,elvis,NI Elvis II 9/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54898,B,elvis,NI Elvis II 10/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54899,B,elvis,NI Elvis II 11/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54901,B,elvis,NI Elvis II 13/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
54902,B,elvis,NI Elvis II 14/14,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
57042,C,otros,Extech 407026 Heavy Duty Light Meter with PC Interface,Extech,407026,,1,BUENO,DISPONIBLE,"La caja tiene el fotómetro, calibrador y manual"
58640,C,multimetro,Multimetro Digital Agilent 34405A,Agilent,34405A,,1,BUENO,DISPONIBLE,
58659,B,generador de funciones,Generador de Funciones Agilent 33210A,Agilent,33210A,,1,BUENO,DISPONIBLE,
58698,D,osciloscopio,Osciloscopio Tektronik TDS1012C-EDU,Tektronik,TDS1012C-EDU,,1,BUENO,DISPONIBLE,
60006,B,elvis,NI Elvis II 1/5,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
60013,B,elvis,NI Elvis II 2/5,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
60015,B,elvis,NI Elvis II 4/5,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
60016,B,elvis,NI Elvis II 5/5,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
60308,C,kit de desarrollo,NI myDAQ 1/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protobord con batería, cable de audio y multímetro, conector de tornillo (765788-01) y desatornillador."
60309,C,kit de desarrollo,NI myDAQ 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y desatornillador. No tiene batería, conector de tornillo y puntas de multímetro. "
60315,C,kit de desarrollo,NI myDAQ  8/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y multímetro, conector de tornillo (765788-01) y desatornillador. Falta la batería."
60317,C,kit de desarrollo,NI myDAQ 10/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y multímetro y desatornillador. Falta la batería y conector de tornillo"
60319,C,kit de desarrollo,NI myDAQ 12/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y multímetro, conector de tornillo (765788-01) y desatornillador. Falta la batería."
60320,C,kit de desarrollo,NI myDAQ 13/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y multímetro, conector de tornillo (765788-01). Falta la batería y desatornillador."
60321,C,kit de desarrollo,NI myDAQ 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae módulo base, base protoboard sin batería, 2 cables de punta de multímetro, 1 cable USB tipo A, 1 desatornillador, 1 conector de tornillo (765788-01) y 1 cable de audio. Falta el DVD con software."
60324,C,kit de desarrollo,NI myDAQ 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y multímetroy desatornillador. Falta la batería y conector de tornillo."
60325,C,kit de desarrollo,NI myDAQ 17/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Faltan puntas de multímetro, batería, trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio, conector de tornillo (765788-01) y desatornillador. "
60326,C,kit de desarrollo,NI myDAQ 18/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y multímetro, conector de tornillo (765788-01) y desatornillador. Falta la batería"
60327,C,kit de desarrollo,NI myDAQ 19/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"No se presta a estudiantes. Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y multímetro, conector de tornillo (765788-01) y desatornillador. Falta la batería."
60329,C,kit de desarrollo,NI myDAQ 21/24 195509F-01L,National Instruments,195509E-01L,,1,BUENO,DISPONIBLE,"Trae manual, myDAQ, cable USB tipo A, base protoboard, cable de audio y multímetro, conector de tornillo (765788-01) y desatornillador. Falta la batería."
69213,D,osciloscopio,Agilent DSO1002A,Agilent ,DSO1002A,,1,BUENO,DISPONIBLE,
70327,D,osciloscopio,Agilent DSO1002A,Agilent ,DSO1002A,,1,BUENO,DISPONIBLE,
70329,D,osciloscopio,Agilent DSO1002A,Agilent ,DSO1002A,,1,BUENO,DISPONIBLE,
70331,D,osciloscopio,Agilent DSO1002A,Agilent ,DSO1002A,,1,BUENO,DISPONIBLE,
70334,D,osciloscopio,Agilent DSO1002A,Agilent ,DSO1002A,,1,BUENO,DISPONIBLE,
78247,B,multimetro,"Multimetro 
Analogico (VOM) Simpson 270 Series 5",Simpson,270-5,,1,BUENO,DISPONIBLE,"falta lagarto 
negro"
78248,B,multimetro,"Multimetro 
Analogico (VOM) Simpson 270 Series 5",Simpson,270-5,,1,BUENO,DISPONIBLE,
78250,B,multimetro,"Multimetro 
Analogico (VOM) Simpson 270 Series 5",Simpson,270-5,,1,BUENO,DISPONIBLE,
78251,B,multimetro,"Multimetro 
Analogico (VOM) Simpson 270 Series 5",Simpson,270-5,,1,BUENO,DISPONIBLE,
78253,B,multimetro,"Multimetro 
Analogico (VOM) Simpson 270 Series 5",Simpson,270-5,,1,BUENO,DISPONIBLE,"faltan puntas 
y lagartos"
78254,B,multimetro,"Multimetro 
Analogico (VOM) Simpson 270 Series 5",Simpson,270-5,,1,BUENO,DISPONIBLE,
78310,E,lcr,Keysight E4980AL Precision LCR Meter  ,Keysight,E4980AL,,1,BUENO,DISPONIBLE,Buen estado
78372,E,multimetro,Multimetro Digital Keysight 34461A,Keysight,34461A,,1,BUENO,DISPONIBLE,Buen estado
82356,D3,mobiliario,Estante Metálico,,,,1,BUENO,DISPONIBLE,Estante desarmado
82362,D3,mobiliario,Estante Metálico,,,,1,BUENO,DISPONIBLE,Estante desarmado
82920,D3,mobiliario,Estante Metálico,,,,1,BUENO,DISPONIBLE,Estante desarmado
84932,B,elvis,NI Elvis II 15,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
84934,B,elvis,NI Elvis II 16,"National 
Instruments",NI Elvis II,,1,BUENO,DISPONIBLE,
98677,D,osciloscopio,Osciloscopio GW Instek GDS-1202B,GW Instek,GDS-1202B,,1,BUENO,DISPONIBLE,
98678,D,osciloscopio,Osciloscopio GW Instek GDS-1202B,GW Instek,GDS-1202B,,1,BUENO,DISPONIBLE,
98682,B,generador de funciones,Generador de Funciones GW Instek AFG-2225,GW Instek,AFG-2225,,1,BUENO,DISPONIBLE,
98717,C,fuente dc,Fuente DC GW Instek GPE-2323,GW Instek,GPE-2323,,1,BUENO,DISPONIBLE,
99678,C,multimetro,Multimetro Digital GW Instek GDM-8341,GW Instek,GDM-8341,,1,BUENO,DISPONIBLE,
99679,C,multimetro,Multimetro Digital GW Instek GDM-8341,GW Instek,GDM-8341,,1,BUENO,DISPONIBLE,
99680,C,multimetro,Multimetro Digital GW Instek GDM-8341,GW Instek,GDM-8341,,1,BUENO,DISPONIBLE,
99681,C,multimetro,Multimetro Digital GW Instek GDM-8341,GW Instek,GDM-8341,,1,BUENO,DISPONIBLE,
99682,C,multimetro,Multimetro Digital GW Instek GDM-8341,GW Instek,GDM-8341,,1,BUENO,DISPONIBLE,
